,,,4.12.1.4 Order Sourcing,,,,"Orders are consolidates with Destination and Dates. Based on destination, and origin is designed to fulfill orders. (Warehouse inventory, production order, etc.).",L4,,,,
,,,4.12.1.5 Backorder Management,,,,Strategies rules to manage unfulfilled orders.,L4,,,,
,,,4.12.1.6 Returns/Exchanges Processing and Inventory Updates,,,,"If a customer finds that the product they purchased is unsatisfactory or defective, the enterprise may allow the customer to return exchange the product.  In this situation, the enterprise needs to make adjustments to their inventory levels to reflect the",L4,,,,
,,4.12.2 Manage Transportation ,,,,,,L3,,,,
,,,4.12.2.1 Carrier Planning,,,,,L4,,,,
,,,,4.12.2.1.1 Carrier Bids Management,,,Pre-qualify carrier bids based on reputation and operational imperatives.,L5,,,,
,,,,4.12.2.1.2 Carrier Selection and Optimization,,,"Carrier selection based upon rates, quality service, terms & conditions, and base rates ",L5,,,,
,,,,4.12.2.1.3 Carrier Agreements Management,,,Leverage negotiation of carrier services by transportation on a system-wide basis ,L5,,,,
,,,,4.12.2.1.4 Carrier Performance Monitoring,,,Carrier performance tracking based on qualitative and quantitative KPI's.,L5,,,,
,,,,4.12.2.1.5 Partner's Capability Management,,,"Refers to the carrier's capability to transport the commodity in question.  For instance, does the carrier have the capability of controlling climate such as temperature or humidity?",L5,,,,
,,,4.12.2.2 Transportation Planning,,,,,L4,,,,
,,,,4.12.2.2.1 Routing,,,"Automated rule-based dynamic routing and scheduling. (e.g. Based on this origin and destination, the shipment will be sent to the following cross dock and picked up by a local delivery agent for end customer delivery.)",L5,,,,
,,,,4.12.2.2.2 Rates and Tariffs Management,,,Management of routing and mode selection to minimize the cost of tariffs.,L5,,,,
,,,,4.12.2.2.3 Load Building,,,SKUs are grouped by source (e.g. vendor) and destination (e.g. warehouse).  Loads can then be built for each group based on net requirements up to specified constraints (e.g. weight or cube).,L5,,,,
,,,,4.12.2.2.4 Mode Selections and Optimization,,,"Proactive management of mixed mode transportation (air, ship, road) with tradeoffs in inventory, freight costs and customer service fully understood.  ",L5,,,,
,,,,4.12.2.2.5 Shipping,,,Releasing shipments and tracking status from the source to the destination ,L5,,,,
,,,,4.12.2.2.6 Cross Docking,,,"The process of transferring a load directly from one truck to another 'across docks,' such that the product stays in transit as opposed to sitting idle between DCs.",L5,,,,
,,,,4.12.2.2.7 Shipment Tracking,,,The ability to track a shipment with a carrier and know exactly where it is in transit.,L5,,,,
,,,,4.12.2.2.8 Customs Management,,,Management of legal responsibilities when transporting goods across international boundaries.,L5,,,,
,,,,4.12.2.2.9 Damage Management,,,"Establish programs and procedures to ensure minimal damage in transporting product (Special equipment handling, training program, FTL). Establish and execute damage claims and integrate with returns process. ",L5,,,,
,,4.12.3 Manage Inventory ,,,,,,L3,,,,
,,,4.12.3.1 Item Catalog/SKU Maintenance,,,,Remove any obsolete items that have been discontinued or phased out and add any new items that will be stored in inventory.,L4,,,,
,,,4.12.3.2 Work In Progress Inventory Management,,,,WIP inventory consists of raw material inventory that is in process and in various stages of completion.,L4,,,,
,,,4.12.3.3 Transfer Stock Tracking,,,,"Transfer stock consists of inventory that is in transit.  Appropriate tracking would involve understanding where inventory is, when it departed, and when it should arrive at its destination.",L4,,,,
,,,4.12.3.4 Goods Movement Entry and Check,,,,Update system of record with appropriate movements between point A and point B.,L4,,,,
,,,4.12.3.5 Reserve Inventory Calculation and Management,,,,Calculate and manage the required levels of inventory to protect against stocks.  Also involves selecting a re-order point system.,L4,,,,
,,,4.12.3.6 Inventory Allocation,,,,"Determine how inventory gets allocated across DCs, plants, customer sites, etc…",L4,,,,
,,,4.12.3.7 Return Disposition,,,,Determination of whether or not a return can be re-worked or whether it needs to be scrapped.,L4,,,,
,,,4.12.3.8 Returned Product Restock,,,,The process of restocking a product and updating the systems to show that a product can be used to fulfill orders again.,L4,,,,
,,,4.12.3.9 Inventory Quantity Management,,,,"Manage inventory quantities by establishing appropriate levels of inventory for transit, cycle, safety, and anticipation stock.",L4,,,,
,,,4.12.3.10 Consignment Inventory Management,,,,"Tracking and or management of inventory that is on consignment to or at another company, such as vendor managed inventory at a  logistics partner.  ",L4,,,,
,,,4.12.3.11 Replenishment Management,,,,,L4,,,,
,,4.12.4 Manage Warehouse ,,,,,,L3,,,,
,,,4.12.4.1 Inbound Management,,,,,L4,,,,
,,,4.12.4.2 Outbound Management,,,,,L4,,,,
,,,4.12.4.3 Warehouse Operations Management,,,,,L4,,,,
,,,,4.12.4.3.1 Value-Added Services,,,"Provide services that will add value to the product that are not necessarily part of the product (I.e. packaging, special folding, etc...)",L5,,,,
,,,,4.12.4.3.2 Work Tasks Management,,,Process of level loading work between delivery receipts and fulfillment of internal picks.,L5,,,,
,,,,4.12.4.3.3 Returns Management,,,"Involves repackaging, retesting, and then initiating a goods movement to return it to stock.",L5,,,,
,,,,4.12.4.3.4 Agreement of Carriage document creation,,,"Produce a document that is the Agreement of carriage between the shipper and carrier;  it provides a receipt for the goods the shipper tenders to the carrier and , in some cases, shows certificate of title.",L5,,,,
,,,,4.12.4.3.5 Yard Scheduling,,,"Manages and schedules appointments for inbound and outbound inventory, tracks the location and contents of trailers in the yard.",L5,,,,
,,,,4.12.4.3.6 Repairs Management,,,Managing and tracking inventory required for repairs as well as the process for returning the repaired goods to the customer.,L5,,,,
,,,,4.12.4.3.7 Refurbishment's Management,,,Managing and tracking inventory required for refurbishments as well as the process for reselling refurbished goods.,L5,,,,
,,,,4.12.4.3.8 Inventory Control,,,Functions as the master control of how inventory is allocated when there are multiple demands.,L5,,,,
,,,,4.12.4.3.9 Dock Scheduling,,,Process of optimizing limited dock allocations for both inbound and outbound deliveries.,L5,,,,
5.0 Plan & Align The Business,,,,,,,Capability for collaboration and  leverage of key shared services,L1,,,,
,5.1 Manage Corporate Strategic Planning ,,,,,,,L2,,,,
,,5.1.1 Manage Planning Responsibilities,,,,,,L3,,,,
,,5.1.2 Maintain Strategic Planning Roadmap,,,,,,L3,,,,
,,,5.1.2.1 Develop & Maintain IT Strategies,,,,,L4,,,,
,,,5.1.2.2 Multi-year roadmap definition,,,,,L4,,,,
,,,5.1.2.3 Migration Planning,,,,,L4,,,,
,,5.1.3 Integration With Corporate Strategic Planning,,,,,,L3,,,,
,,,5.1.3.1 Document Business Strategies,,,,,L4,,,,
,,5.1.4 Maintain Strategic Planning Process,,,,,,L3,,,,
,,5.1.5 Develop Strategic Plan,,,,,,L3,,,,
,,5.1.6 Manage Strategic Drivers and Targets,,,,,,L3,,,,
,,5.1.7 Manage Enterprise Performance,,,,,,L3,,,,
,,5.1.8 Align With Corporate Strategy,,,,,,L3,,,,
,,5.1.9 Align With Business Strategy,,,,,,L3,,,,
,,,5.1.9.1 Identify strategic BU needs,,,,,L4,,,,
,,,5.1.9.2 Define BU and business function roles and accountability,,,,,L4,,,,
,,,5.1.9.3 Determine BU Costs,,,,,L4,,,,
,,,5.1.9.4 Establish BU Measures,,,,,L4,,,,
,,,5.1.9.5 Communicate BU Strategies,,,,,L4,,,,
,,,5.1.9.6 Develop strategy for BU systems/technologies/tools,,,,,L4,,,,
,,5.1.10 Manage Governance & Policies,,,,,,L3,,,,
,,5.1.11 Monitor External Environment,,,,,,L3,,,,
,,5.1.12 Develop Business Plans,,,,,,L3,,,,
,,,5.1.12.1 Measure realization of objectives,,,,,L4,,,,
,,,5.1.12.2 Measure contribution to business strategies,,,,,L4,,,,
,,,5.1.12.3 Communicate plans and provide updates to stakeholders,,,,,L4,,,,
,,,5.1.12.4 Determine value added from BU function,,,,,L4,,,,
,,,5.1.12.5 Review and Revise BU plans,,,,,L4,,,,
,,5.1.13 Corporate Development & Venture Integration Management,,,,,,L3,,,,
,,,5.1.13.1 Manage Opportunities,,,,,L4,,,,
,,,5.1.13.2 Transaction Execution,,,,,L4,,,,
,,,5.1.13.3 Manage Integration Plan & Execute,,,,,L4,,,,
,,5.1.14 Manage Quality Control Planning ,,,,,,L3,,,,
,,5.1.15 Analyze  New Market Opportunities,,,,,,L3,,,,
,5.2 Manage Portfolio,,,,,,,L2,,,,
,,5.2.1 Manage Demand,,,,,,L3,,,,
,,,5.2.1.1 Identify Opportunity,,,,,L4,,,,
,,,5.2.1.2 Manage Service Demand,,,,,L2,,,,
,,,,5.2.1.2.1 Manage Service Catalog ,,,,L2,,,,
,,,,5.2.1.2.2 Consumption Monitoring & Billing,,,,L2,,,,
,,,,5.2.1.2.3 Service Tiering,,,,L2,,,,
,,,5.2.1.3 Manage Onboarding Demand,,,,,L3,,,,
,,,5.2.1.4 Manage Product Group Demand,,,,,L3,,,,
,,,5.2.1.5 Manage Project Demand,,,,"Provide framework that defines the end to end lifecycle of all requests (projects, enhancements, bugs, corporate mandates etc) from inception to closure.",L3,,,,
,,,,5.2.1.5.1 Strategic/Economic Alignment,,,,L4,,,,
,,,,5.2.1.5.2 Demand Capture & Evaluation,,,,L4,,,,
,,,,5.2.1.5.3 Alternative Project Scoping,,,,L4,,,,
,,5.2.2 Optimize Programs/Services,,,,,,L4,,,,
,,,5.2.2.1 Optimize Services Portfolio,,,,,L3,,,,
,,,,5.2.2.1.1 Manage Business Services,,,,L4,,,,
,,,,5.2.2.1.2 Manage IT Services,,,,L4,,,,
,,,,5.2.2.1.3 Manage Services Catalog,,,,L4,,,,
,,,,5.2.2.1.4 Manage Services Methods & Techniques,,,,L4,,,,
,,,5.2.2.2 Optimize Onboarding Portfolio,,,,,L3,,,,
,,,5.2.2.3 Optimize Product Group Portfolio,,,,,L3,,,,
,,,5.2.2.4 Optimize Project Portfolio,,,,,L3,,,,
,,,,5.2.2.4.1 Manage Prioritization Criteria,,,,L4,,,,
,,,,5.2.2.4.2 Manage Prioritization,,,,L4,,,,
,,,,,5.5.6.2.1 Measure Value,,,L4,,,,
,,,,5.2.2.4.3 Establish Plan Of Record,,,,L4,,,,
,,,,5.2.2.4.4 Mange Project Funding Approvals,,,,L4,,,,
,,,,,5.5.6.4.1 Business Case Management,,,L4,,,,
,,,,,5.5.6.4.2 Funding Request,,,L4,,,,
,,,,5.2.2.4.5 Project/Portfolio Status Monitoring,,,,L4,,,,
,,5.2.3 Manage Enterprise  Application Portfolio,,,,,,L4,,,,
,,,5.2.3.1 Optimize Enterprise Application Portfolio,,,,,L3,,,,
,,,5.2.3.2 Manage Application Portfolio Inventory,,,,,L3,,,,
,,,5.2.3.3 Manage Operational Status,,,,,L3,,,,
,,,5.2.3.4 Manage Application Dependencies,,,,,L3,,,,
,,,5.2.3.5 Manage Application Status & Milestones,,,,,L3,,,,
,,,5.2.3.6 Manage Application Versions,,,,,L3,,,,
,5.3 Manage Corporate Communications,,,,,,External & Internal Reporting Planning & Management,L2,,,,
,,5.3.1 Intra Communication Management,,,,,,L4,,,,
,,5.3.2 Extra Communication Management,,,,,,L4,,,,
,5.4 Manage Corporate Values ,,,,,,"Capability for management of core values, codes of conduct, ethics and stakeholders",L2,,,,
,,5.4.1 Manage Brand Image,,,,,,L3,,,,
,,,5.4.1.1 Develop Brand Equity ,,,,,L4,,,,
,,,,5.4.1.1.1 Assess brand awareness,,,,L5,,,,
,,,,5.4.1.1.2 Develop brand strategy,,,,L5,,,,
,,,,5.4.1.1.3 Communicate brand strategy,,,,L5,,,,
,,,,5.4.1.1.4 Implement brand strategy,,,,L5,,,,
,,,5.4.1.2 Promote Brand & Image ,,,,,L4,,,,
,,5.4.2 Manage Investor Relations,,,,,,L3,,,,
,,5.4.3 Manage Public Relations,,,,,,L3,,,,
,5.5 Business Continuity Management,,,,,,,L2,,,,
,5.6 Manage Architecture,,,,,,,,,,,
,,5.6.1 Business Architecture Maintenance,,,,,,L3,,,,
,,,5.6.1.1 Manage and complete capability assessment,,,,,L4,,,,
,,5.6.2 Enterprise Architecture Management,,,,,,L3,,,,
,,,5.6.2.1 Enterprise Architecture Maintenance,,,,,L4,,,,
,,,,5.6.2.1.1 Application Architecture Maintenance,,,,L5,,,,
,,,,5.6.2.1.2 Manage Information Architecture ,,,,L5,,,,
,,,,,5.7.1.5.1 Develop & Maintain the Enterprise Data Model,,,n/a,,,,
,,,,,5.7.1.5.2 Analyze & Align with Other Business Models,,,n/a,,,,
,,,,,5.7.1.5.3 Define & Maintain the Data Technology Architecture,,,n/a,,,,
,,,,,5.7.1.5.4 Define & Maintain the Data Integration Architecture,,,n/a,,,,
,,,,,5.7.1.5.5 Define & Maintain the DW/BI Architecture,,,n/a,,,,
,,,,,5.7.1.5.6 Define & Maintain Enterprise Taxonomies & Namespaces,,,n/a,,,,
,,,,,5.7.1.5.7 Define & Maintain the Metadata Architecture,,,n/a,,,,
,,,,5.6.2.1.3 Technology  Architecture Maintenance,,,,L5,,,,
,,,,5.6.2.1.4 Standards Management,,,,L5,,,,
,,,,5.6.2.1.5 Best Practices Capture & Publication,,,,L5,,,,
,,,,5.6.2.1.6 Data Quality Management,,,,L5,,,,
,,,,5.6.2.1.7 Shared Code/Components Management,,,,L5,,,,
,,,5.6.2.2 Manage Enterprise Architecture Enforcement/Maintenance,,,,,L4,,,,
,,,,5.6.2.2.1 Standards Management,,,,L5,,,,
,,,,5.6.2.2.2 Best Practices Capture & Publication,,,,L5,,,,
,,,,5.6.2.2.3 Data Quality Management,,,,L5,,,,
,,,,5.6.2.2.4 Shared Code/Components Management,,,,L5,,,,
,,,5.6.2.3 Manage Inventory and Roadmap Standards,,,,,L4,,,,
,,,5.6.2.4 Future State Analysis (Strategic Planning),,,,,L4,,,,
,,,,5.6.2.4.1 Develop & Maintain IT Strategies,,,,L5,,,,
,,,,5.6.2.4.2 Document Business Strategies,,,,L5,,,,
,,,,5.6.2.4.3 Align IT & Business Strategies,,,,L5,,,,
,,,,5.6.2.4.4 Multi-year roadmap definition,,,,L5,,,,
,,,,5.6.2.4.5 Migration Planning,,,,L5,,,,
,,5.6.3 Manage Architectural Reviews,,,,,,L3,,,,
,5.7 Manage Enterprise Collaboration & Planning,,,,,,"Capability for cross divisional and external collaboration from a strategic, planning and operational perspective",L2,,,,
,,5.7.1 Strategic Collaboration,,,,,,L3,,,,
,,,5.7.1.1 Partnering Strategy,,,,,L4,,,,
,,,,5.7.1.1.1 Develop Business Agreements,,,,L5,,,,
,,,,5.7.1.1.2 Create Joint Strategies and Tactics,,,,L5,,,,
,,,,5.7.1.1.3 Develop Joint Business Plan,,,,L5,,,,
,,,,5.7.1.1.4 Collaboration Lifecycle Management,,,,L5,,,,
,,,5.7.1.2 Product/Service Concept and Planning,,,,,L4,,,,
,,,,"5.7.1.2.1 Share Product Plans, Cost, Lifecycle",,,,L5,,,,
,,,,"5.7.1.2.2 Model Product Plans, Cost, Lifecycle Changes with Trade Partners",,,,L5,,,,
,,,,"5.7.1.2.3 Communicate w/ Trade Partner(s) all Schedule, Cost, and  Product Life Cycle Changes ",,,,L5,,,,
,,5.7.2 Planning Collaboration,,,,,,L3,,,,
,,,5.7.2.1 Design & Develop Products & Processes,,,,,L4,,,,
,,,,5.7.2.1.1 Share Product Design Specifications ,,,,L5,,,,
,,,,5.7.2.1.2 Model Product Design Specifications Changes with Trade Partners,,,,L5,,,,
,,,,5.7.2.1.3 Communicate w/ Trade Partner(s) all Product Design Changes ,,,,L5,,,,
,,,5.7.2.2 Policy Management,,,,,L4,,,,
,,,,5.7.2.2.1 Identify Exception Management Conditions ,,,,L5,,,,
,,,,"5.7.2.2.2 Develop Notification Policy & Approach for Exceptions, Changes, Commitments",,,,L5,,,,
,,,,5.7.2.2.3 Manage Event Notifications across Partners,,,,L5,,,,
,,,5.7.2.3 Demand Planning,,,,,L4,,,,
,,,,5.7.2.3.1 Share Demand Plan ,,,,L5,,,,
,,,,5.7.2.3.2 Model Demand Changes with Supply Chain Impact,,,,L5,,,,
,,,,"5.7.2.3.3 Communicate w/ Trade Partner(s) all Promotions,  Product Life Cycle, and Changes ",,,,L5,,,,
,,,,5.7.2.3.4 Identify & Resolve Demand Plan Exceptions with Trade Partners,,,,L5,,,,
,,,,"5.7.2.3.5 Send/Receive Demand Alerts to/from Partners on Exceptions, Changes, and Commitments",,,,L5,,,,
,,,,5.7.2.3.6 Automatically Replan  Demand and Model Based on Event Triggers and Exceptions,,,,L5,,,,
,,,5.7.2.4 Supply Planning,,,,,L4,,,,
,,,,5.7.2.4.1 Share Supply Plan Constraints and Plans,,,,L5,,,,
,,,,5.7.2.4.2 Model Changes and Constraints to Replan Across Partners,,,,L5,,,,
,,,,"5.7.2.4.3 Model Inventory Strategies, Priorities, Practices to Develop Optimal Inventory Plan Across Partners",,,,L5,,,,
,,,,"5.7.2.4.4 Communicate w/ Trade Partner(s) all Real-Time Changes, Plans, Commitments",,,,L5,,,,
,,,,5.7.2.4.5 Identify & Resolve Order Forecast Exceptions with Trade Partners,,,,L5,,,,
,,,,"5.7.2.4.6 Send/Receive Supply Alerts to/from Partners on Exceptions, Changes, and Commitments",,,,L5,,,,
,,,,5.7.2.4.7 Automatically Replan Supply and Model Based on Event Triggers and Exceptions,,,,L5,,,,
,,5.7.3 Operational Collaboration,,,,,,L3,,,,
,,,5.7.3.1 Resource Visibility,,,,,L4,,,,
,,,,5.7.3.1.1 Share Resource Positions Across Partners,,,,L5,,,,
,,,,5.7.3.1.2 View Into Inter-enterprise Inventory to Enable ATP,,,,L5,,,,
,,,,5.7.3.1.3 Apply Rules and Capabilities to Determine Capability to Promise,,,,L5,,,,
,,,,5.7.3.1.4 Automatically Replan Resources and Model Based on Event Triggers and Exceptions,,,,L5,,,,
,,,,"5.7.3.1.5 Communicate Product Substitute, Excess, Obsolete Resource Across Partners",,,,L5,,,,
,,,,5.7.3.1.6 Substitute Product/Service or Location to Provide ATP / CTP,,,,L5,,,,
,,,,"5.7.3.1.7 Send/Receive Resource alerts to/from Partners on Exceptions, Changes, and Commitments",,,,L5,,,,
,,,5.7.3.2 Fulfillment Visibility,,,,,L4,,,,
,,,,5.7.3.2.1 Share Delivery Schedules with Partners,,,,L5,,,,
,,,,5.7.3.2.2 Communicate Exceptions and Replan Across Partners,,,,L5,,,,
,,,,5.7.3.2.3 Automatically Replan Fulfillment and Model Based on Event Triggers and Exceptions,,,,L5,,,,
,,,,5.7.3.2.4 Model Lead Time Rules to Develop Optimal Plans Across Partners,,,,L5,,,,
,,,,"5.7.3.2.5 Send/Receive Fulfillment alerts to/from Partners on Exceptions, Changes, and Commitments",,,,L5,,,,
,5.8 Ensure Product Excellence,,,,,,,L2,,,,
,,5.8.1 Engage With Product Groups,,,,,,L2,,,,
,,5.8.2 Manage Dogfooding,,,,,,L2,,,,
,,5.8.3 Adopt Technology,,,,,,L2,,,,
,,5.8.4 Showcase Technology,,,,,,L2,,,,
,,5.8.5 Guide Product Group,,,,,,L2,,,,
,,5.8.6 Analyze/Evangelize New Product Opportunities,,,,,,L2,,,,
,,5.8.7 Influence Product Direction,,,,,,L2,,,,
,,5.8.8 Incubate Technology,,,,,,L2,,,,
,,5.8.9 Manage Research & Development,,,,,,,,,,
,5.9 Manage Portfolio Delivery,,,,,,,L2,,,,
,,5.9.1 Manage Project Management Methodology,,,,,,L3,,,,
,,5.9.2 Manage Program/Project,,,,,Capabilities required to deliver a project program,L3,,,,
,,,5.9.2.1 Manage Project Status,,,,,,,,,
,,,5.9.2.2 Manage Project Risk,,,,,L4,,,,
,,,5.9.2.3 Manage Project Scope,,,,,L4,,,,
,,,5.9.2.4 Manage Project Traceability ,,,,,L4,,,,
,,,,5.9.2.4.1 Manage Prject Milestone Tracking,,,,,,,,
,,,5.9.2.5 Manage Project Change ,,,,,L4,,,,
,,,,5.9.2.5.1 Manage Project Change Requests,,,,L5,,,,
,,,,5.9.2.5.2 Determine Scope Changes,,,,L5,,,,
,,,,5.9.2.5.3 Issue Project Change Order,,,,L5,,,,
,,,,5.9.2.5.4 Approve Project Change Request,,,,L5,,,,
,,,,5.9.2.5.5 Update Project Changes ,,,,L5,,,,
,,,5.9.2.6 Project/Portfolio Release Management,,,,,L4,,,,
,,,,5.9.2.6.1 Define Releases,,,,L5,,,,
,,,,5.9.2.6.2 Maintain Releases,,,,L5,,,,
,,,,5.9.2.6.3 Schedule Releases,,,,L5,,,,
,,,,5.9.2.6.4 Release packaging,,,,L5,,,,
,,,,5.9.2.6.5 Release Readiness Review,,,,L5,,,,
,,,5.9.2.7 Manage Project Success Metrics,,,,"Reporting on project status, burn rate etc",L4,,,,
,,,,5.9.2.7.1 Project Tracking & Status Analysis,,,,L5,,,,
,,,,5.9.2.7.2 Project Budget & Spend Analysis,,,,L5,,,,
,,,,5.9.2.7.3 Project Report Generation & Delivery ,,,,L5,,,,
,,,,5.9.2.7.4 Project Scope Analysis,,,,L5,,,,
,,,,5.9.2.7.5 Track Benefits Realization,,,ROI measuring and tracking,L5,,,,
,,,5.9.2.8 Project Reporting & Communications,,,,,L4,,,,
,,,5.9.2.9 Project Accounting,,,,,L4,,,,
,,,,5.9.2.9.1 Project Setup ,,,,L5,,,,
,,,,,5.5.16.1.1 Set Up Non-Sales Order Project,,,n/a,,,,
,,,,,5.5.16.1.2 Setup Sales Order Projects,,,n/a,,,,
,,,,,5.5.16.1.3 Setup Project Templates,,,n/a,,,,
,,,,,5.5.16.1.4 Check For Duplicate Projects,,,n/a,,,,
,,,,5.9.2.9.2 Project Financial Setup,,,,L5,,,,
,,,,5.9.2.9.3 Project Budget Management,,,,L5,,,,
,,,,5.9.2.9.4 Project Time & Expense Management,,,,L5,,,,
,,,,5.9.2.9.5 Project Price Calculation,,,,L5,,,,
,,,,5.9.2.9.6 Project Costing and Tracking,,,,L5,,,,
,,,,5.9.2.9.7 Project Progress Payment Authorization,,,,L5,,,,
,,,,5.9.2.9.8 Project Billing,,,,L5,,,,
,,,,,5.5.16.8.1 Run Invoice Proposals,,,n/a,,,,
,,,,,5.5.16.8.2 Review Proposals,,,n/a,,,,
,,,,,5.5.16.8.3 Adjust Proposals,,,n/a,,,,
,,,,,5.5.16.8.4 Approve Proposals,,,n/a,,,,
,,,,,5.5.16.8.5 Tracks Vendor payments made to a given project.,,,n/a,,,,
,,,,,5.5.16.8.6 Handle WIP - for projects in process that have not yet become assets.,,,n/a,,,,
,,,,5.9.2.9.9 Update Project Accounting,,,,L5,,,,
,,,,5.9.2.9.10 Project Capitalization & Close,,,,L5,,,,
,,,,5.9.2.9.11 Project Write-Off,,,,L5,,,,
,,,,5.9.2.9.12 Financial Integration,,,,L5,,,,
,,,5.9.2.10 Manage Project Resources,,,,,L4,,,,
,,5.9.3 Manage Solution Development,,,,,,L3,,,,
,,,5.9.3.1 Plan Solution,,,,,,,,,
,,,,5.9.3.1.1 Develop Program/Project Business Case,,,,L4,,,,
,,,,5.9.3.1.2 Optimize Business Processes,,,,L4,,,,
,,,,,5.5.8.2.1 Map Standard Business Processes,,,L5,,,,
,,,,,5.5.8.2.2 Redesign Processes,,,L5,,,,
,,,,,5.5.8.2.3 Implement New Processes,,,L5,,,,
,,,,5.9.3.1.3 Manage Business Readiness,,,,L4,,,,
,,,,,5.5.8.3.1 Manage Ownership,,,L5,,,,
,,,,,5.5.8.3.2 Business Readiness Planning,,,L5,,,,
,,,,,5.5.8.3.3 End User Training,,,L5,,,,
,,,,,5.5.8.3.4 Manage Solution Adoption,,,L5,,,,
,,,,5.9.3.1.4 Initiate Project Delivery,,,,L4,,,,
,,,,,5.5.8.4.1 Project Scope Detail & Management,,,L5,,,,
,,,,,5.5.8.4.2 Manage Project Charter,,,L5,,,,
,,,,,5.5.8.4.3 Project Issues Management,,,L5,,,,
,,,,,5.5.8.4.4 Technical Quality Assurance Management,,,L5,,,,
,,,,5.9.3.1.5 Manage Solution Requirements,,,,L4,,,,
,,,,,5.5.8.5.1 Project Quality Management,,,L5,,,,
,,,,,5.5.8.5.2 Project Risk Management & Mitigation,,,L5,,,,
,,,,,5.5.8.5.3 Requirements Traceability,,,L5,,,,
,,,,,5.5.8.5.4 Requirements - Business Rules Management,,,L5,,,,
,,,,5.9.3.1.6 Design Project Solution,,,,L4,,,,
,,,,,5.5.8.6.1 Project Schedule & Delivery Management,,,L5,,,,
,,,,,5.5.8.6.2 Project Resource Management (Roles & Responsibilities),,,L5,,,,
,,,,,5.5.8.6.3 User Interface Design,,,L5,,,,
,,,,,5.5.8.6.4 Performance Design,,,L5,,,,
,,,,,5.5.8.6.5 Data Modeling,,,L5,,,,
,,,,,5.5.8.6.6 Security/Privacy Design,,,L5,,,,
,,,,,5.5.8.6.7 Infrastructure Planning,,,L5,,,,
,,,,,5.5.8.6.8 Thereat Modeling,,,L5,,,,
,,,,5.9.3.1.7 Design/Develop Unit Test Cases,,,,L4,,,,
,,,5.9.3.2 Develop Solution,,,,,,,,,
,,,,5.9.3.2.1 Build Application,,,,L4,,,,
,,,,,5.5.8.8.1 Build Components,,,L5,,,,
,,,,,5.5.8.8.2 Complete Verification Specifications,,,L5,,,,
,,,,,5.5.8.8.3 Develop Training & Support Items,,,L5,,,,
,,,,,5.5.8.8.4 Build Creation,,,L5,,,,
,,,,,5.5.8.8.5 Code Promotion,,,L5,,,,
,,,,,5.5.8.8.6 Build Validation Test,,,L5,,,,
,,,,5.9.3.2.2 Stabilize Applications,,,,L4,,,,
,,,,,5.5.8.9.1 Complete Verification Specifications,,,L5,,,,
,,,,,5.5.8.9.2 Complete Training & Support Items,,,L5,,,,
,,,,,5.5.8.9.3 Complete Customer Acceptance,,,L5,,,,
,,,,,5.5.8.9.4 Complete Deployment Readiness,,,L5,,,,
,,,,,5.5.8.9.5 Approve Go/No Go,,,L5,,,,
,,,,,5.5.8.9.6 Complete User Documentation,,,L5,,,,
,,,,5.9.3.2.3 Deploy Application,,,,L4,,,,
,,,,5.9.3.2.4 Manage Project Closure,,,,L4,,,,
,5.10 Manage Knowledge And Information ,,,,,,"Capability to identify, create, represent, and distribute knowledge for reuse, awareness and learning",L2,,,,
,,5.10.1 Govern Data,,,,,,L3,,,,
,,,5.10.1.1 Plan Data Management,,,,,L4,,,,
,,,,5.10.1.1.1 Identify Strategic Enterprise Data Needs,,,,L5,,,,
,,,,5.10.1.1.2 Develop & Maintain the Data Strategy,,,,L5,,,,
,,,,5.10.1.1.3 Establish the Data Management Professional Organizations,,,,L5,,,,
,,,,5.10.1.1.4 Identify & Appoint Data Stewards,,,,L5,,,,
,,,,5.10.1.1.5 Establish Data Governance & Stewardship Organizations,,,,L5,,,,
,,,,"5.10.1.1.6 Develop, Review & Approve Data Policies, Standards and Procedures",,,,L5,,,,
,,,,5.10.1.1.7 Review & Approve Data Architecture,,,,L5,,,,
,,,,5.10.1.1.8 Plan and Sponsor Data Management Projects & Services,,,,L5,,,,
,,,,5.10.1.1.9 Estimate Data Asset Value & Associated Data Management Costs,,,,L5,,,,
,,,5.10.1.2 Supervise & Control Data Management,,,,,L4,,,,
,,,,5.10.1.2.1 Supervise the Data Management Professional Staff & Organizations,,,,L5,,,,
,,,,5.10.1.2.2 Coordinate Data Governance Activities,,,,L5,,,,
,,,,5.10.1.2.3 Manage & Resolve Data Related Issues,,,,L5,,,,
,,,,5.10.1.2.4 Monitor & Ensure Regulatory Compliance,,,,L5,,,,
,,,,"5.10.1.2.5 Monitor Conformance with Data Policies, Standards and Architecture",,,,L5,,,,
,,,,5.10.1.2.6 Oversee Data Management Projects & Services,,,,L5,,,,
,,,,5.10.1.2.7 Communicate & Promote the Value of Data Assets,,,,L5,,,,
,,,5.10.1.3 Manage Meta Data,,,,,L4,,,,
,,,,5.10.1.3.1 Understand Meta Data Requirements,,,,L5,,,,
,,,,5.10.1.3.2 Define the Meta Data Architecture,,,,L5,,,,
,,,,5.10.1.3.3 Define & Maintain Meta Data Standards,,,,L5,,,,
,,,,5.10.1.3.4 Implement a Managed Meta Data Environment,,,,L5,,,,
,,,,5.10.1.3.5 Create & Maintain Meta Data,,,,L5,,,,
,,,,5.10.1.3.6 Integrate Meta Data,,,,L5,,,,
